,LFQ intensity BIR_1,LFQ intensity BIR_2,LFQ intensity BIR_3,LFQ intensity CHX_1,LFQ intensity CHX_2,LFQ intensity CHX_3,LFQ intensity DCP2_1,LFQ intensity DCP2_2,LFQ intensity DCP2_3,LFQ intensity NOC_1,LFQ intensity NOC_2,LFQ intensity NOC_3,LFQ intensity MB_1,LFQ intensity MB_2,LFQ intensity MB_3,LFQ intensity OS_1,LFQ intensity OS_2,LFQ intensity OS_3,Only identified by site,Reverse,Potential contaminant,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,Razor + unique peptides BIR_1,Razor + unique peptides BIR_2,Razor + unique peptides BIR_3,Razor + unique peptides CHX_1,Razor + unique peptides CHX_2,Razor + unique peptides CHX_3,Razor + unique peptides DCP2_1,Razor + unique peptides DCP2_2,Razor + unique peptides DCP2_3,Razor + unique peptides NOC_1,Razor + unique peptides NOC_2,Razor + unique peptides NOC_3,Razor + unique peptides MB_1,Razor + unique peptides MB_2,Razor + unique peptides MB_3,Razor + unique peptides OS_1,Razor + unique peptides OS_2,Razor + unique peptides OS_3,Protein IDs,Majority protein IDs,Protein names,Gene names
31,33089000,0,0,38931000,35166000,0,40013000,44014000,37578000,60543000,27503000,35303000,61932000,105400000,95327000,52358000,48978000,45189000,,,,5,5,5,"25,3","25,3","25,3","42,233",0,"33,396",861160000,34,3,1,1,3,2,1,2,3,2,3,2,2,4,5,5,3,4,3,A8MXV4,A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",NUDT19
32,0,21983000,0,24487000,0,25369000,21055000,15837000,0,0,25726000,22294000,0,16840000,26331000,19216000,25512000,24129000,,,,11,10,10,"5,7","5,3","5,3","292,7",0,"6,2886",286040000,16,1,4,3,3,1,4,4,3,3,1,4,6,0,2,3,2,4,2,B2RTY4,B2RTY4,Unconventional myosin-IXa,MYO9A
33,0,0,0,0,0,0,0,0,0,0,0,131880000,0,0,0,0,0,0,,,,2,2,1,"28,3","28,3","14,2","11,265",0,"13,474",119100000,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,P0DOY3;P0DOY2;P0CG04;P0CF74;B9A064,P0DOY3;P0DOY2;P0CG04;P0CF74;B9A064,Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Immunoglobulin lambda-like polypeptide 5,IGLC1;IGLC6;IGLL5
34,0,0,0,0,0,0,0,0,0,0,0,45741000,0,0,0,0,0,0,,,+,3,3,3,"9,3","9,3","9,3","53,5",0,"5,808",40650000,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,CON__O43790;O43790;CON__Q14533;CON__P78386;Q14533;P78386;CON__Q61726;CON__Q6NT21;CON__P78385;A6NCN2;P78385,CON__O43790;O43790;CON__Q14533;CON__P78386;Q14533;P78386,"Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb1;Keratin, type II cuticular Hb5",KRT86;KRT81;KRT85
35,0,0,0,0,0,0,0,0,0,78657000,0,0,0,0,0,0,0,0,,,+,5,5,5,"15,5","15,5","15,5","70,505",0,"13,985",93929000,7,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,CON__P00735;P00734,CON__P00735,,
36,20320000000,18023999488,18403999744,23821000704,27914999808,29007998976,32011999232,29148000256,37006000128,22315999232,29827999744,23093999616,20383000576,14677999616,5872200192,19087998976,15127000064,19647000576,,,+,11,11,10,"71,9","71,9","58,9","24,409",0,"323,31",359500000000,615,9,10,10,9,9,10,10,10,10,10,10,11,10,10,9,11,11,10,CON__P00761,CON__P00761,,
37,0,0,0,0,0,0,0,0,0,290489984,0,0,0,256830000,187300000,0,0,0,,,+,6,6,6,"58,5","58,5","58,5","15,184",0,"18,734",971550000,19,1,1,0,0,0,0,0,0,0,6,0,1,0,6,6,1,0,0,CON__P01966;P69905,CON__P01966;P69905,Hemoglobin subunit alpha,HBA1
38,247110000,30674000,37742000,112230000,0,111410000,74967000,0,33858000,53570000,52893000,74908000,84986000,27376000,0,23627000,46693000,145440000,,,+,17,7,3,"41,5",22,"12,7","51,621",0,"62,97",1068200000,47,6,4,3,4,2,5,5,1,3,3,4,5,4,2,0,3,4,6,CON__P02533;P02533;CON__Q61782;CON__P35900;CON__Q9D312;P35900;CON__Q8N1A0;Q8N1A0,CON__P02533;P02533,"Keratin, type I cytoskeletal 14",KRT14
39,902899968,24854000,124610000,340600000,38995000,131110000,82917000,0,17168000,86380000,66901000,844289984,108490000,24332000,21492000,0,93118000,90140000,,,+,20,13,2,"43,4","31,7","3,5","60,044",0,"68,449",2731700000,69,13,2,7,10,2,7,6,1,2,3,4,11,5,2,2,1,5,8,CON__P02538;P02538;CON__P48668;P48668;CON__Q8VED5,CON__P02538;P02538;CON__P48668;P48668,"Keratin, type II cytoskeletal 6A;Keratin, type II cytoskeletal 6C",KRT6A;KRT6C
40,0,0,0,0,0,0,0,0,0,51264000,0,0,0,0,13376000,0,0,0,,,+,5,5,5,"11,1","11,1","11,1","67,011",0,"5,5612",69399000,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,CON__P02672,CON__P02672,,
41,0,0,0,0,0,0,0,0,0,96884000,0,0,0,0,0,0,0,0,,,+,4,4,4,"10,9","10,9","10,9","56,44",0,"14,604",123880000,4,0,0,0,1,0,0,0,0,0,4,1,0,0,1,1,0,0,0,CON__P02676,CON__P02676,,
42,0,0,0,0,0,0,0,0,0,0,0,116610000,0,0,0,0,0,0,,,+,11,6,6,"17,7","11,5","11,5","69,366",0,"6,9227",161500000,6,0,0,0,1,0,0,0,0,0,1,0,6,0,1,1,1,0,0,CON__P02768-1;P02768,CON__P02768-1;P02768,Serum albumin,ALB
43,239790000,123250000,270240000,31811000,1183200000,5596000256,43555000,0,29000000,4754899968,2813100032,85174000,17160000,277460000,34870000,35438000,0,14372000,,,+,37,37,32,"64,9","64,9","58,6","69,293",0,"133,27",12567000000,206,16,10,21,7,26,34,5,1,6,36,31,4,4,16,9,8,3,3,CON__P02769,CON__P02769,,
44,120510000,94604000,121850000,146840000,111000000,40318000,55571000,56533000,68278000,623689984,89462000,121470000,159000000,483480000,1646300032,220120000,177050000,60207000,,,+,24,21,19,"56,7","51,6","47,8","53,704",0,"139,67",5760600000,149,7,8,7,8,4,2,2,3,6,15,5,8,7,15,19,12,10,5,CON__P05787;P05787;CON__H-INV:HIT000292931;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267;CON__Q9DCV7;CON__Q9NSB2;CON__Q6ISB0;Q9NSB2,CON__P05787;P05787,"Keratin, type II cytoskeletal 8",KRT8
45,0,0,0,0,0,0,0,0,0,127290000,0,0,0,29110000,0,0,0,0,,,+,6,6,6,"12,8","12,8","12,8","91,215",0,"8,1583",165100000,7,0,0,0,0,0,0,0,1,0,6,0,0,0,2,1,0,0,0,CON__P06868,CON__P06868,,
46,799440000,76174000,310260000,394500000,120410000,252160000,215700000,60561000,116620000,77807000,135240000,251870000,163110000,0,0,94052000,127090000,142330000,,,+,23,20,13,"56,9",52,"37,4","51,267",0,"105,81",2963900000,96,19,6,12,8,2,7,8,3,6,4,3,9,8,1,2,2,11,9,CON__P08779;P08779;CON__Q9Z2K1;CON__Q3ZAW8,CON__P08779;P08779,"Keratin, type I cytoskeletal 16",KRT16
47,74807000,57706000,103270000,71301000,43729000,40605000,97190000,67216000,95084000,189010000,82345000,40807000,39488000,79990000,73658000,25466000,25269000,29145000,,,+,4,4,4,"14,8","14,8","14,8","38,418",0,"8,1869",1146500000,24,3,2,3,3,2,2,3,2,3,4,3,2,3,2,2,2,2,3,CON__P12763,CON__P12763,,
48,5297900032,1813699968,3306500096,8556199936,5586299904,7007300096,3332199936,3228800000,3414500096,4906500096,4087099904,4682500096,11461000192,2600000000,2104600064,2163899904,3623099904,3991200000,,,+,32,32,24,"59,8","59,8","49,7","58,826",0,"323,31",75225000000,859,32,29,29,31,31,31,27,29,29,30,30,31,32,29,24,28,31,30,P13645;CON__P13645;CON__Q7Z3Y7;Q7Z3Y7;CON__Q148H6;CON__Q2M2I5;CON__Q7Z3Y8;CON__Q7Z3Z0;Q7Z3Y8;Q7Z3Z0;Q2M2I5;CON__A2AB72;CON__Q497I4;Q7Z3Y9;CON__Q7Z3Y9;Q92764;CON__Q92764,P13645;CON__P13645,"Keratin, type I cytoskeletal 10",KRT10
49,0,0,0,115960000,0,0,0,0,0,0,0,2246099968,0,0,0,23745000,0,0,,,+,19,14,1,45,"37,3",2,"49,586",0,"126,32",2021700000,25,0,0,1,8,0,0,0,1,0,0,0,14,0,1,0,2,1,1,CON__P13646-1,CON__P13646-1,,
50,181400000,59937000,111360000,224050000,121300000,166030000,88492000,83110000,0,136350000,120850000,253250000,251910000,48008000,0,44325000,83823000,144210000,,,+,20,13,6,"35,9","23,6","9,3","62,378",0,"26,132",1911000000,69,10,6,6,9,6,6,4,4,2,6,7,10,10,4,0,5,5,5,CON__P13647;P13647,CON__P13647;P13647,"Keratin, type II cytoskeletal 5",KRT5
51,0,0,0,326020000,0,0,0,0,0,0,0,1502899968,0,0,0,0,0,0,,,+,25,23,17,"47,5","44,8","35,7","63,91",0,"158,93",1821600000,47,0,0,1,12,2,0,0,1,1,1,0,22,0,0,0,0,1,1,CON__P19013;P19013,CON__P19013;P19013,"Keratin, type II cytoskeletal 4",KRT4
52,4545200128,1138899968,2013799936,2634099968,1545400064,2840399872,2339099904,1619500032,1033600000,2221400064,1716800000,1774499968,3044600064,650929984,610460032,939409984,1475200000,3751399936,,,+,27,26,26,"59,7","59,7","59,7","62,129",0,"323,31",35907000000,587,25,23,22,24,20,23,24,23,18,23,22,23,25,20,20,21,23,24,CON__P35527;P35527,CON__P35527;P35527,"Keratin, type I cytoskeletal 9",KRT9
53,1570599936,539310016,1202000000,2102599936,1942099968,2333400064,1500199936,1197600000,1142899968,1172000000,1355000064,1417200000,1807399936,854929984,500460000,824449984,1100899968,1549200000,,,+,33,31,21,"64,3","61,2","46,9","65,432",0,"254,53",21386000000,408,28,20,24,28,25,25,23,23,24,25,23,25,25,24,22,23,22,25,CON__P35908v2;P35908;CON__P35908;Q01546;CON__Q01546;CON__Q5XKE5;Q5XKE5;CON__REFSEQ:XP_932229,CON__P35908v2;P35908;CON__P35908,"Keratin, type II cytoskeletal 2 epidermal",KRT2
54,0,0,0,0,0,0,0,0,0,0,0,69312000,0,0,0,0,0,0,,,+,4,3,1,"10,6","8,9","2,9","47,232","0,0011775","2,6141",57751000,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,CON__Q15323;Q15323;CON__Q9UE12;CON__O76009;Q14525;O76009;CON__Q6NTB9;CON__Q8IUT8;CON__Q14525;CON__O76013;CON__O76015;CON__Q14532;O76013;CON__A2A5Y0;CON__REFSEQ:XP_986630;Q14532;O76015;CON__Q9D646,CON__Q15323;Q15323;CON__Q9UE12;CON__O76009;Q14525;O76009;CON__Q6NTB9;CON__Q8IUT8;CON__Q14525;CON__O76013;CON__O76015;CON__Q14532;O76013;CON__A2A5Y0;CON__REFSEQ:XP_986630;Q14532;O76015,"Keratin, type I cuticular Ha1;Keratin, type I cuticular Ha3-II;Keratin, type I cuticular Ha3-I;Keratin, type I cuticular Ha6;Keratin, type I cuticular Ha2;Keratin, type I cuticular Ha8",KRT31;KRT33B;KRT33A;KRT36;KRT32;KRT38
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5551900,,,+,1,1,1,"0,8","0,8","0,8","187,37","0,0088734","1,6001",39353000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,CON__Q2UVX4,CON__Q2UVX4,,
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19601000,,,+,5,1,1,"9,4","2,2","2,2","58,923","0,0003059","3,1709",136990000,4,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,CON__Q32MB2;Q86Y46;CON__Q7RTS7;Q7RTS7;CON__Q3SY84;Q3SY84;CON__Q14CN4-1;CON__Q6IME9;Q14CN4,CON__Q32MB2;Q86Y46;CON__Q7RTS7;Q7RTS7;CON__Q3SY84;Q3SY84,"Keratin, type II cytoskeletal 73;Keratin, type II cytoskeletal 74;Keratin, type II cytoskeletal 71",KRT73;KRT74;KRT71
57,0,0,0,0,0,0,0,0,0,337089984,0,0,0,131460000,141530000,0,0,0,,,+,7,7,7,"42,3","42,3","42,3","22,06",0,"39,592",750440000,22,0,0,0,0,1,0,0,0,0,7,0,1,0,4,5,1,1,1,CON__Q3SX09;P68871;P02042;CON__P02070;P69892;P69891;P02100,CON__Q3SX09,,
58,0,0,0,26224000,14044000,10450000,0,0,0,10939000,0,0,47411000,0,0,0,12324000,0,,,+,5,5,5,4,4,4,"248,07",0,"10,522",118770000,8,1,0,1,4,2,3,0,0,0,2,0,0,5,0,0,0,2,1,CON__Q5D862;Q5D862,CON__Q5D862;Q5D862,Filaggrin-2,FLG2
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12674000,0,0,0,,,+,3,2,2,"6,1","4,6","4,6","56,964","0,0091349","1,5914",129580000,7,0,0,0,1,1,1,1,1,1,1,0,2,1,1,1,0,0,0,CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4,CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4,"Keratin, type II cytoskeletal 78",KRT78
60,0,0,0,0,0,0,0,0,0,0,0,0,155790000,0,0,0,0,0,,,+,10,8,6,"19,7","16,4","12,3","61,802",0,"18,205",191610000,9,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,1,0,CON__Q7Z794;Q7Z794,CON__Q7Z794;Q7Z794,"Keratin, type II cytoskeletal 1b",KRT77
61,11982000,8990100,63547000,7555000,9262700,11050000,51576000,11328000,6150800,8011600,12030000,3527300,14820000,4923500,13334000,6271100,6312500,7166900,,,+,2,2,2,"4,5","4,5","4,5","282,39","0,0093884","1,5842",234010000,7,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,CON__Q86YZ3;Q86YZ3,CON__Q86YZ3;Q86YZ3,Hornerin,HRNR
62,29421000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,+,9,2,2,"18,5","4,8","4,8","48,161","0,00030497","3,1258",29421000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON__Q9QWL7;CON__Q04695;Q04695,CON__Q9QWL7;CON__Q04695;Q04695,"Keratin, type I cytoskeletal 17",KRT17
63,120139997184,108130000896,119139999744,155070005248,178299994112,212339998720,192269991936,163750002688,209019994112,149659992064,173160005632,142810005504,125399998464,79572000768,52038000640,106050002944,92072001536,117219999744,,,+,6,6,6,"46,9","46,9","46,9","16,622",0,"323,31",2215300000000,7593,4,5,4,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,CON__Streptavidin,CON__Streptavidin,,
64,55208000,55122000,69703000,104590000,91838000,51168000,42672000,41630000,35442000,105230000,54802000,63726000,112650000,188580000,248250000,85629000,85659000,46037000,,,,5,5,5,"3,4","3,4","3,4","205,42",0,"81,696",1717100000,62,5,3,4,5,3,2,3,3,3,5,4,3,5,5,5,5,5,4,E9PAV3;Q13765;Q9BZK3,E9PAV3;Q13765,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA
65,309289984,312220000,468129984,636979968,735859968,532030016,582200000,499840000,465160000,767500032,553600000,489969984,661150016,850200000,545590016,544209984,453640000,387670016,,,,7,7,7,"42,3","42,3","42,3","14,234",0,"23,4",9237700000,62,4,5,5,7,7,6,7,6,7,7,7,6,7,7,6,7,6,7,E9PRG8,E9PRG8,Uncharacterized protein C11orf98,C11orf98
